mean_x,mean_y,mean_z,range_x,range_y,range_z,mean_magnitude,energy_x,energy_y,energy_z,atividade
0.23,0.73,0.4,0.02,0.04,0.02,0.87,1.09,10.75,3.22,Celular
0.23,0.74,0.4,0.02,0.03,0.02,0.87,1.08,10.91,3.23,Celular
0.23,0.74,0.4,0.01,0.03,0.02,0.87,1.08,10.94,3.25,Celular
0.23,0.74,0.4,0.02,0.03,0.02,0.87,1.08,10.92,3.24,Celular
0.23,0.73,0.4,0.03,0.1,0.02,0.87,1.1,10.65,3.26,Celular
0.24,0.74,0.4,0.03,0.12,0.02,0.87,1.11,10.85,3.24,Celular
0.24,0.74,0.4,0.03,0.12,0.04,0.88,1.12,11.0,3.24,Celular
0.24,0.75,0.4,0.03,0.12,0.04,0.88,1.14,11.15,3.24,Celular
0.24,0.75,0.4,0.03,0.09,0.04,0.88,1.12,11.25,3.23,Celular
0.24,0.74,0.4,0.03,0.09,0.04,0.88,1.12,11.02,3.24,Celular
0.24,0.74,0.4,0.03,0.09,0.08,0.87,1.11,10.96,3.25,Celular
0.23,0.74,0.4,0.03,0.13,0.08,0.87,1.06,11.01,3.22,Celular
0.23,0.75,0.4,0.03,0.11,0.08,0.88,1.06,11.19,3.18,Celular
0.23,0.74,0.4,0.04,0.12,0.09,0.87,1.04,11.04,3.14,Celular
0.23,0.75,0.4,0.04,0.12,0.06,0.88,1.05,11.22,3.13,Celular
0.23,0.76,0.4,0.04,0.14,0.06,0.89,1.08,11.63,3.16,Celular
0.23,0.77,0.4,0.04,0.14,0.06,0.9,1.1,11.98,3.2,Celular
0.24,0.8,0.4,0.03,0.13,0.07,0.92,1.13,12.8,3.19,Celular
0.24,0.8,0.4,0.02,0.11,0.06,0.93,1.14,12.97,3.17,Celular
0.24,0.8,0.4,0.02,0.11,0.06,0.92,1.12,12.81,3.16,Celular
0.24,0.8,0.4,0.02,0.11,0.06,0.93,1.13,12.92,3.15,Celular
0.24,0.8,0.4,0.01,0.05,0.04,0.92,1.12,12.68,3.18,Celular
0.24,0.79,0.4,0.02,0.09,0.05,0.92,1.12,12.63,3.21,Celular
0.23,0.77,0.4,0.04,0.15,0.05,0.9,1.08,12.01,3.23,Celular
0.22,0.75,0.4,0.07,0.18,0.07,0.88,1.0,11.24,3.15,Celular
0.22,0.61,0.33,0.38,0.83,0.43,0.75,1.01,8.62,2.52,Celular
0.21,0.57,0.33,0.38,0.76,0.43,0.72,0.97,7.68,2.47,Celular
0.21,0.56,0.32,0.38,0.73,0.43,0.71,0.97,7.39,2.43,Celular
0.22,0.56,0.33,0.38,0.71,0.43,0.71,1.02,7.28,2.5,Celular
0.22,0.67,0.39,0.06,0.08,0.09,0.81,0.97,9.04,3.13,Celular
0.22,0.68,0.4,0.04,0.08,0.09,0.82,0.99,9.38,3.14,Celular
0.22,0.7,0.4,0.04,0.06,0.09,0.83,1.0,9.67,3.15,Celular
0.22,0.69,0.4,0.02,0.06,0.06,0.83,1.01,9.62,3.15,Celular
0.22,0.69,0.4,0.02,0.12,0.02,0.83,1.01,9.48,3.16,Celular
0.23,0.7,0.39,0.04,0.19,0.09,0.83,1.02,9.69,3.07,Celular
0.22,0.69,0.39,0.04,0.19,0.09,0.83,1.01,9.67,3.08,Celular
0.23,0.7,0.39,0.04,0.19,0.11,0.83,1.01,9.78,3.09,Celular
0.23,0.71,0.39,0.04,0.12,0.11,0.85,1.02,10.2,3.08,Celular
0.23,0.71,0.4,0.03,0.05,0.05,0.84,1.01,10.0,3.15,Celular
0.22,0.7,0.4,0.03,0.07,0.09,0.84,0.99,9.95,3.18,Celular
0.22,0.71,0.39,0.03,0.07,0.1,0.84,0.96,10.05,3.11,Celular
0.22,0.7,0.39,0.03,0.12,0.1,0.83,0.94,9.84,3.04,Celular
0.22,0.7,0.39,0.04,0.12,0.1,0.82,0.94,9.67,3.0,Celular
0.22,0.7,0.39,0.04,0.15,0.09,0.83,0.94,9.77,3.02,Celular
0.22,0.7,0.39,0.04,0.15,0.09,0.84,0.97,9.96,3.07,Celular
0.22,0.72,0.39,0.04,0.12,0.07,0.85,0.97,10.26,3.11,Celular
0.22,0.73,0.39,0.03,0.08,0.07,0.86,0.96,10.56,3.12,Celular
0.22,0.73,0.39,0.02,0.03,0.02,0.86,0.97,10.67,3.04,Celular
0.22,0.73,0.39,0.02,0.03,0.02,0.85,0.96,10.57,3.04,Celular
0.22,0.72,0.39,0.02,0.03,0.02,0.85,0.96,10.5,3.04,Celular
0.22,0.72,0.39,0.02,0.07,0.02,0.85,0.96,10.33,3.05,Celular
0.22,0.71,0.39,0.02,0.09,0.05,0.84,0.95,10.07,3.07,Celular
0.22,0.69,0.38,0.03,0.16,0.15,0.82,0.95,9.68,2.96,Celular
0.22,0.7,0.38,0.04,0.21,0.15,0.83,0.96,9.78,2.93,Celular
0.22,0.7,0.38,0.04,0.21,0.15,0.83,0.97,9.83,2.97,Celular
0.22,0.67,0.38,0.05,0.47,0.15,0.8,0.98,9.22,2.89,Celular
0.23,0.61,0.38,0.06,0.47,0.08,0.76,1.06,7.9,2.91,Celular
0.24,0.53,0.38,0.13,0.45,0.08,0.7,1.22,5.97,2.94,Celular
0.24,0.47,0.37,0.15,0.4,0.11,0.65,1.22,4.73,2.69,Celular
0.24,0.49,0.36,0.16,0.41,0.11,0.66,1.18,5.06,2.64,Celular
0.23,0.55,0.37,0.16,0.41,0.12,0.7,1.08,6.29,2.69,Celular
0.21,0.61,0.36,0.12,0.4,0.12,0.74,0.88,7.63,2.64,Celular
0.21,0.66,0.37,0.06,0.14,0.06,0.79,0.86,8.69,2.81,Celular
0.21,0.67,0.38,0.04,0.1,0.04,0.8,0.91,9.12,2.92,Celular
0.21,0.7,0.38,0.03,0.15,0.03,0.82,0.92,9.76,2.93,Celular
0.22,0.72,0.39,0.02,0.12,0.03,0.85,0.95,10.42,2.98,Celular
0.22,0.74,0.39,0.02,0.15,0.03,0.86,0.96,10.9,3.0,Celular
0.22,0.76,0.39,0.02,0.11,0.03,0.88,0.97,11.48,2.97,Celular
0.22,0.76,0.39,0.02,0.12,0.05,0.88,0.98,11.69,3.01,Celular
0.22,0.77,0.39,0.02,0.12,0.05,0.89,0.99,11.78,3.04,Celular
0.22,0.77,0.39,0.02,0.12,0.05,0.89,1.0,11.87,3.04,Celular
0.22,0.77,0.39,0.02,0.12,0.04,0.89,1.0,11.83,3.08,Celular
0.22,0.77,0.39,0.02,0.08,0.05,0.89,1.0,11.95,3.02,Celular
0.22,0.7,0.38,0.06,0.54,0.2,0.83,1.01,10.22,2.89,Celular
0.24,0.58,0.37,0.14,0.7,0.3,0.75,1.19,7.93,2.86,Celular
0.28,0.52,0.39,0.21,0.7,0.3,0.73,1.64,6.36,3.21,Celular
0.31,0.45,0.42,0.21,0.62,0.3,0.7,2.02,4.67,3.64,Celular
0.34,0.47,0.43,0.13,0.69,0.26,0.73,2.28,5.0,3.91,Celular
0.33,0.5,0.44,0.16,0.64,0.26,0.75,2.26,5.43,4.0,Celular
0.29,0.53,0.42,0.23,0.64,0.26,0.75,1.81,6.1,3.65,Celular
0.27,0.57,0.4,0.19,0.64,0.26,0.76,1.53,6.99,3.35,Celular
0.26,0.61,0.41,0.17,0.58,0.13,0.79,1.42,7.9,3.4,Celular
0.26,0.68,0.42,0.12,0.25,0.12,0.84,1.4,9.35,3.57,Celular
0.28,0.7,0.43,0.08,0.15,0.1,0.87,1.54,9.82,3.76,Celular
0.28,0.69,0.43,0.04,0.16,0.05,0.86,1.53,9.63,3.78,Celular
0.27,0.69,0.43,0.04,0.16,0.07,0.86,1.48,9.69,3.64,Celular
0.27,0.69,0.42,0.04,0.16,0.07,0.85,1.42,9.58,3.58,Celular
0.26,0.69,0.42,0.03,0.11,0.05,0.85,1.38,9.5,3.53,Celular
0.26,0.7,0.42,0.03,0.06,0.05,0.86,1.37,9.93,3.56,Celular
0.26,0.7,0.43,0.02,0.05,0.02,0.86,1.35,9.92,3.63,Celular
0.36,0.69,0.46,0.66,0.21,0.26,0.93,3.59,9.62,4.35,Celular
0.52,0.69,0.52,0.7,0.24,0.33,1.04,7.41,9.57,5.73,Celular
0.67,0.68,0.57,0.7,0.24,0.33,1.14,10.86,9.25,6.67,Digitando
0.82,0.66,0.63,0.69,0.29,0.43,1.24,14.29,8.84,8.1,Digitando
0.88,0.64,0.64,0.12,0.3,0.26,1.27,15.49,8.42,8.41,Digitando
0.87,0.59,0.63,0.09,0.37,0.3,1.22,14.99,7.1,7.96,Digitando
0.86,0.55,0.64,0.09,0.36,0.32,1.21,14.92,6.25,8.32,Digitando
0.86,0.53,0.63,0.08,0.3,0.25,1.19,14.72,5.81,8.1,Digitando
0.84,0.52,0.64,0.11,0.29,0.25,1.18,14.23,5.59,8.23,Digitando
0.84,0.54,0.65,0.12,0.32,0.25,1.19,13.97,5.91,8.41,Digitando
0.83,0.54,0.64,0.12,0.32,0.2,1.18,13.73,6.04,8.24,Digitando
0.82,0.54,0.63,0.1,0.32,0.17,1.17,13.55,5.88,8.04,Digitando
0.83,0.53,0.64,0.19,0.25,0.47,1.18,13.96,5.65,8.48,Digitando
0.83,0.52,0.64,0.18,0.27,0.52,1.18,13.92,5.54,8.51,Digitando
0.84,0.52,0.64,0.18,0.27,0.52,1.18,14.01,5.38,8.47,Digitando
0.85,0.49,0.65,0.18,0.27,0.52,1.18,14.34,4.93,8.66,Digitando
0.84,0.51,0.64,0.11,0.41,0.37,1.18,14.23,5.31,8.31,Digitando
0.85,0.53,0.64,0.09,0.38,0.25,1.19,14.5,5.7,8.25,Digitando
0.85,0.51,0.64,0.09,0.39,0.25,1.18,14.33,5.47,8.26,Digitando
0.84,0.54,0.64,0.09,0.39,0.25,1.19,14.28,5.89,8.19,Digitando
0.85,0.54,0.63,0.1,0.29,0.22,1.19,14.43,6.0,8.06,Digitando
0.85,0.54,0.64,0.1,0.25,0.11,1.19,14.33,6.0,8.15,Digitando
0.85,0.53,0.64,0.32,0.6,0.31,1.19,14.37,5.93,8.32,Digitando
0.85,0.55,0.65,0.32,0.6,0.31,1.21,14.54,6.38,8.51,Digitando
0.86,0.54,0.64,0.32,0.6,0.31,1.21,14.7,6.16,8.36,Digitando
0.86,0.54,0.65,0.32,0.6,0.31,1.21,14.97,6.15,8.43,Digitando
0.88,0.58,0.65,0.08,0.13,0.21,1.24,15.41,6.86,8.53,Digitando
0.88,0.59,0.64,0.07,0.23,0.18,1.24,15.32,7.13,8.19,Digitando
0.87,0.6,0.64,0.05,0.22,0.17,1.24,15.18,7.34,8.31,Digitando
0.89,0.65,0.64,0.15,0.38,0.23,1.28,15.85,8.64,8.24,Digitando
0.92,0.71,0.63,0.15,0.38,0.19,1.32,16.84,10.42,8.01,Digitando
0.94,0.74,0.64,0.14,0.38,0.19,1.36,17.81,11.18,8.23,Digitando
0.96,0.77,0.64,0.11,0.32,0.19,1.39,18.43,12.05,8.32,Digitando
0.94,0.72,0.63,0.14,0.44,0.12,1.35,17.88,10.68,7.98,Digitando
0.91,0.68,0.62,0.16,0.4,0.19,1.29,16.53,9.41,7.66,Digitando
0.88,0.64,0.61,0.15,0.4,0.19,1.25,15.41,8.35,7.39,Digitando
0.85,0.6,0.6,0.14,0.35,0.22,1.2,14.39,7.35,7.18,Digitando
0.84,0.59,0.6,0.12,0.36,0.27,1.19,14.06,7.04,7.3,Digitando
0.84,0.55,0.61,0.12,0.34,0.26,1.18,14.01,6.29,7.54,Digitando
0.83,0.55,0.64,0.12,0.31,0.39,1.19,13.95,6.19,8.32,Digitando
0.85,0.55,0.66,0.17,0.31,0.39,1.21,14.48,6.15,8.94,Digitando
0.85,0.59,0.66,0.17,0.4,0.46,1.24,14.38,7.23,9.13,Digitando
0.86,0.6,0.68,0.17,0.32,0.46,1.26,14.78,7.4,9.48,Digitando
0.86,0.6,0.66,0.14,0.36,0.45,1.25,14.71,7.38,9.06,Digitando
0.85,0.6,0.65,0.13,0.36,0.36,1.23,14.54,7.33,8.63,Digitando
0.86,0.57,0.67,0.12,0.29,0.21,1.24,14.81,6.7,9.1,Digitando
0.85,0.58,0.63,0.12,0.31,0.47,1.21,14.45,6.81,8.16,Digitando
0.86,0.58,0.63,0.12,0.31,0.47,1.22,14.72,6.93,8.1,Digitando
0.86,0.59,0.63,0.12,0.32,0.47,1.22,14.82,7.09,8.05,Digitando
0.86,0.58,0.62,0.12,0.32,0.43,1.22,14.97,6.96,7.86,Digitando
0.88,0.58,0.64,0.08,0.31,0.29,1.24,15.34,6.99,8.39,Digitando
0.88,0.58,0.62,0.08,0.31,0.27,1.23,15.36,6.97,7.77,Digitando
0.87,0.59,0.61,0.17,0.55,0.33,1.23,15.07,7.4,7.66,Digitando
0.86,0.59,0.6,0.18,0.55,0.33,1.21,14.72,7.28,7.34,Digitando
0.85,0.58,0.61,0.21,0.55,0.33,1.21,14.59,7.19,7.5,Digitando
0.84,0.59,0.62,0.21,0.55,0.33,1.21,14.32,7.29,7.92,Digitando
0.85,0.6,0.64,0.21,0.38,0.33,1.23,14.44,7.36,8.37,Digitando
0.85,0.59,0.66,0.18,0.38,0.23,1.23,14.56,7.26,8.67,Digitando
0.84,0.59,0.66,0.12,0.57,0.36,1.23,14.27,7.31,8.85,Digitando
0.85,0.56,0.65,0.12,0.57,0.36,1.21,14.38,6.68,8.56,Digitando
0.84,0.54,0.63,0.11,0.57,0.36,1.19,14.02,6.22,8.03,Digitando
0.83,0.55,0.61,0.11,0.57,0.36,1.18,13.68,6.48,7.62,Digitando
0.83,0.55,0.6,0.1,0.32,0.21,1.17,13.71,6.28,7.3,Digitando
0.83,0.57,0.62,0.09,0.25,0.17,1.18,13.8,6.59,7.66,Digitando
0.84,0.57,0.63,0.09,0.21,0.18,1.19,14.16,6.52,7.87,Digitando
0.85,0.57,0.64,0.08,0.16,0.17,1.21,14.32,6.55,8.19,Digitando
0.85,0.58,0.64,0.15,0.13,0.14,1.21,14.64,6.68,8.2,Digitando
0.85,0.59,0.64,0.16,0.16,0.18,1.22,14.44,7.07,8.17,Digitando
0.85,0.6,0.65,0.16,0.25,0.2,1.23,14.47,7.37,8.44,Digitando
0.85,0.6,0.64,0.16,0.26,0.2,1.22,14.51,7.25,8.29,Digitando
0.84,0.58,0.65,0.11,0.32,0.21,1.22,14.16,6.89,8.55,Digitando
0.85,0.59,0.67,0.13,0.32,0.28,1.23,14.39,7.1,9.0,Digitando
0.84,0.59,0.65,0.13,0.32,0.28,1.22,14.28,7.08,8.63,Digitando
0.84,0.6,0.65,0.13,0.32,0.33,1.22,14.16,7.42,8.44,Digitando
0.84,0.62,0.64,0.13,0.19,0.33,1.23,14.25,7.74,8.26,Digitando
0.84,0.6,0.63,0.11,0.19,0.21,1.21,14.28,7.25,7.93,Digitando
0.85,0.6,0.64,0.11,0.19,0.21,1.22,14.35,7.14,8.12,Digitando
0.85,0.6,0.65,0.11,0.22,0.28,1.23,14.38,7.15,8.52,Digitando
0.85,0.6,0.65,0.1,0.22,0.28,1.23,14.4,7.17,8.58,Digitando
0.85,0.58,0.65,0.11,0.28,0.28,1.22,14.36,6.76,8.54,Digitando
0.85,0.56,0.65,0.11,0.4,0.28,1.21,14.42,6.32,8.51,Digitando
0.85,0.58,0.64,0.09,0.53,0.18,1.22,14.58,6.95,8.17,Digitando
0.85,0.58,0.64,0.09,0.53,0.15,1.22,14.53,7.02,8.1,Digitando
0.85,0.61,0.64,0.1,0.53,0.12,1.23,14.29,7.76,8.15,Digitando
0.84,0.63,0.63,0.09,0.34,0.19,1.23,14.17,8.13,7.87,Digitando
0.83,0.59,0.63,0.1,0.33,0.24,1.2,13.88,7.01,7.99,Digitando
0.83,0.59,0.63,0.09,0.35,0.24,1.2,13.87,7.02,7.96,Digitando
0.84,0.56,0.64,0.14,0.35,0.31,1.2,14.25,6.46,8.26,Digitando
0.85,0.55,0.65,0.14,0.35,0.31,1.2,14.4,6.15,8.48,Digitando
0.86,0.55,0.66,0.09,0.32,0.37,1.22,14.85,6.2,8.92,Digitando
0.87,0.54,0.67,0.09,0.54,0.35,1.22,15.01,6.02,9.02,Digitando
0.86,0.53,0.65,0.08,0.54,0.35,1.21,14.9,5.86,8.64,Digitando
0.86,0.52,0.66,0.08,0.54,0.35,1.21,14.83,5.62,8.87,Digitando
0.85,0.52,0.64,0.06,0.54,0.19,1.19,14.54,5.74,8.21,Digitando
0.85,0.54,0.65,0.06,0.29,0.25,1.2,14.61,5.96,8.42,Digitando
0.85,0.56,0.63,0.07,0.27,0.3,1.2,14.37,6.46,8.09,Digitando
0.85,0.59,0.63,0.08,0.24,0.3,1.21,14.41,7.01,8.1,Digitando
0.86,0.59,0.64,0.08,0.24,0.3,1.23,14.63,7.04,8.4,Digitando
0.85,0.58,0.64,0.08,0.23,0.27,1.21,14.38,6.86,8.22,Digitando
0.85,0.58,0.65,0.08,0.23,0.17,1.22,14.5,6.74,8.51,Digitando
0.85,0.58,0.64,0.08,0.21,0.11,1.22,14.58,6.73,8.31,Digitando
0.84,0.59,0.64,0.11,0.23,0.15,1.21,14.29,6.98,8.09,Digitando
0.86,0.59,0.63,0.17,0.23,0.18,1.22,14.74,7.08,7.96,Digitando
0.86,0.61,0.63,0.17,0.23,0.18,1.22,14.65,7.43,7.88,Digitando
0.84,0.62,0.62,0.18,0.27,0.18,1.22,14.21,7.75,7.68,Digitando
0.85,0.6,0.62,0.18,0.27,0.18,1.21,14.38,7.23,7.64,Digitando
0.85,0.58,0.63,0.13,0.47,0.23,1.21,14.33,6.94,8.03,Digitando
0.85,0.55,0.64,0.13,0.47,0.23,1.21,14.6,6.32,8.27,Digitando
0.87,0.52,0.65,0.08,0.46,0.23,1.21,15.06,5.57,8.49,Digitando
0.87,0.51,0.65,0.08,0.46,0.23,1.21,15.2,5.48,8.62,Digitando
0.86,0.52,0.63,0.11,0.51,0.23,1.19,14.94,5.68,7.91,Digitando
0.86,0.53,0.62,0.11,0.51,0.23,1.2,14.89,5.92,7.87,Digitando
0.86,0.57,0.62,0.11,0.32,0.16,1.2,14.7,6.63,7.69,Digitando
0.85,0.57,0.61,0.11,0.3,0.16,1.19,14.53,6.53,7.53,Digitando
0.86,0.56,0.63,0.11,0.38,0.19,1.2,14.7,6.46,7.88,Digitando
0.85,0.56,0.63,0.14,0.41,0.22,1.2,14.63,6.41,8.06,Digitando
0.85,0.54,0.63,0.14,0.41,0.25,1.19,14.6,6.02,8.0,Digitando
0.86,0.57,0.61,0.14,0.41,0.34,1.2,14.83,6.73,7.59,Digitando
0.86,0.58,0.61,0.15,0.38,0.35,1.21,14.8,7.01,7.62,Digitando
0.86,0.58,0.59,0.15,0.47,0.35,1.2,14.82,7.01,7.15,Digitando
0.86,0.58,0.58,0.15,0.47,0.35,1.2,14.94,7.02,6.94,Digitando
0.86,0.58,0.61,0.16,0.38,0.34,1.21,14.9,6.86,7.69,Digitando
0.86,0.58,0.62,0.11,0.44,0.34,1.21,14.95,6.97,7.68,Digitando
0.87,0.59,0.65,0.18,0.29,0.43,1.24,15.03,7.18,8.54,Digitando
0.86,0.61,0.67,0.21,0.39,0.34,1.26,14.77,7.66,9.23,Digitando
0.86,0.62,0.67,0.21,0.39,0.38,1.26,14.81,7.89,9.04,Digitando
0.86,0.61,0.67,0.21,0.39,0.38,1.25,14.67,7.69,9.0,Digitando
0.85,0.61,0.63,0.14,0.42,0.28,1.23,14.53,7.61,8.05,Digitando
0.86,0.6,0.61,0.1,0.27,0.23,1.21,14.65,7.33,7.58,Digitando
0.86,0.57,0.62,0.08,0.26,0.22,1.2,14.68,6.66,7.63,Digitando
0.86,0.58,0.62,0.08,0.31,0.22,1.21,14.72,6.85,7.69,Digitando
0.86,0.58,0.62,0.08,0.31,0.22,1.21,14.79,6.9,7.73,Digitando
0.86,0.58,0.62,0.06,0.31,0.14,1.21,14.83,6.88,7.78,Digitando
0.86,0.59,0.62,0.06,0.32,0.32,1.22,14.76,7.2,7.71,Digitando
0.86,0.57,0.63,0.07,0.32,0.33,1.22,14.92,6.69,8.15,Digitando
0.86,0.56,0.63,0.06,0.38,0.33,1.21,14.95,6.4,8.17,Digitando
0.87,0.56,0.64,0.1,0.38,0.35,1.22,15.22,6.44,8.29,Digitando
0.87,0.55,0.65,0.1,0.31,0.35,1.22,15.06,6.27,8.58,Digitando
0.86,0.54,0.64,0.11,0.31,0.31,1.2,14.94,5.91,8.19,Digitando
0.87,0.54,0.66,0.13,0.26,0.45,1.22,15.14,5.85,8.97,Digitando
0.87,0.5,0.67,0.14,0.32,0.42,1.21,15.0,5.23,9.15,Digitando
0.87,0.51,0.66,0.15,0.34,0.42,1.21,15.06,5.43,9.03,Digitando
0.86,0.54,0.67,0.17,0.52,0.42,1.23,14.89,6.17,9.26,Digitando
0.85,0.55,0.64,0.13,0.52,0.32,1.2,14.47,6.21,8.41,Digitando
0.84,0.57,0.64,0.11,0.43,0.22,1.21,14.28,6.69,8.23,Digitando
0.85,0.56,0.64,0.13,0.43,0.23,1.21,14.63,6.45,8.36,Digitando
0.86,0.57,0.63,0.12,0.28,0.23,1.21,14.66,6.5,7.94,Digitando
0.86,0.56,0.65,0.12,0.28,0.23,1.22,14.85,6.37,8.49,Digitando
0.87,0.54,0.65,0.12,0.32,0.23,1.22,15.07,6.06,8.55,Digitando
0.86,0.56,0.64,0.14,0.32,0.23,1.22,14.92,6.45,8.26,Digitando
0.87,0.54,0.64,0.14,0.36,0.23,1.21,15.08,5.93,8.26,Digitando
0.87,0.54,0.64,0.12,0.36,0.2,1.21,15.0,6.1,8.19,Digitando
0.87,0.54,0.65,0.12,0.3,0.21,1.22,15.16,6.04,8.43,Digitando
0.87,0.53,0.64,0.12,0.3,0.23,1.21,15.16,5.77,8.36,Digitando
0.87,0.55,0.64,0.11,0.21,0.35,1.22,15.22,6.09,8.34,Digitando
0.87,0.55,0.63,0.11,0.21,0.35,1.21,15.25,6.02,8.07,Digitando
0.87,0.57,0.61,0.08,0.35,0.34,1.21,15.09,6.68,7.58,Digitando
0.86,0.59,0.62,0.08,0.35,0.39,1.22,14.9,7.06,7.78,Digitando
0.86,0.57,0.63,0.08,0.39,0.36,1.21,14.8,6.65,8.01,Digitando
0.86,0.59,0.63,0.08,0.39,0.36,1.23,14.92,7.13,8.12,Digitando
0.86,0.59,0.63,0.06,0.33,0.32,1.22,14.78,7.0,8.02,Digitando
0.86,0.56,0.63,0.06,0.33,0.24,1.21,14.88,6.45,8.02,Digitando
0.87,0.56,0.65,0.1,0.37,0.39,1.23,15.17,6.46,8.62,Digitando
0.87,0.53,0.66,0.1,0.26,0.39,1.22,15.24,5.77,8.79,Digitando
0.88,0.5,0.68,0.11,0.25,0.38,1.22,15.36,5.15,9.4,Digitando
0.88,0.5,0.68,0.14,0.29,0.34,1.22,15.4,5.17,9.39,Digitando
0.87,0.51,0.65,0.11,0.29,0.28,1.2,15.12,5.2,8.59,Digitando
0.86,0.53,0.66,0.15,0.39,0.38,1.21,14.81,5.77,8.83,Digitando
0.86,0.53,0.65,0.15,0.37,0.38,1.21,14.84,5.84,8.53,Digitando
0.85,0.53,0.64,0.15,0.37,0.38,1.19,14.61,5.74,8.27,Digitando
0.85,0.56,0.64,0.15,0.37,0.38,1.21,14.49,6.35,8.36,Digitando
0.86,0.56,0.64,0.09,0.33,0.23,1.21,14.67,6.33,8.15,Digitando
0.85,0.57,0.62,0.09,0.29,0.24,1.2,14.56,6.65,7.81,Digitando
0.86,0.59,0.63,0.09,0.22,0.24,1.22,14.7,7.05,7.96,Digitando
0.86,0.57,0.64,0.09,0.23,0.24,1.22,14.86,6.55,8.19,Digitando
0.87,0.56,0.62,0.12,0.18,0.21,1.21,15.03,6.37,7.78,Digitando
0.87,0.57,0.64,0.12,0.18,0.18,1.22,15.22,6.5,8.16,Digitando
0.87,0.56,0.63,0.12,0.18,0.21,1.22,15.2,6.43,8.05,Digitando
0.87,0.59,0.63,0.09,0.18,0.17,1.23,15.2,7.07,7.92,Digitando
0.87,0.6,0.64,0.07,0.15,0.31,1.23,15.13,7.15,8.25,Digitando
0.86,0.59,0.65,0.08,0.18,0.31,1.23,14.85,7.08,8.48,Digitando
0.86,0.6,0.66,0.08,0.18,0.31,1.24,14.8,7.33,8.7,Digitando
0.86,0.59,0.65,0.08,0.18,0.31,1.23,14.77,6.92,8.65,Digitando
0.86,0.59,0.65,0.06,0.18,0.14,1.23,14.71,7.0,8.36,Digitando
0.86,0.6,0.63,0.06,0.18,0.14,1.23,14.87,7.28,7.98,Digitando
0.86,0.61,0.63,0.08,0.34,0.21,1.23,14.83,7.46,8.03,Digitando
0.86,0.59,0.64,0.11,0.34,0.32,1.23,14.96,7.19,8.27,Digitando
0.86,0.59,0.64,0.11,0.34,0.32,1.23,14.96,7.04,8.35,Digitando
0.87,0.58,0.64,0.11,0.34,0.3,1.23,14.99,6.75,8.37,Digitando
0.87,0.57,0.63,0.08,0.16,0.39,1.21,15.09,6.52,7.93,Digitando
0.86,0.59,0.62,0.06,0.33,0.23,1.22,14.9,6.96,7.82,Digitando
0.86,0.59,0.63,0.07,0.56,0.23,1.23,14.92,7.34,8.06,Digitando
0.86,0.61,0.63,0.14,0.56,0.39,1.23,14.84,7.72,8.04,Digitando
0.86,0.6,0.62,0.14,0.56,0.4,1.23,14.88,7.47,7.9,Digitando
0.87,0.58,0.63,0.14,0.74,0.41,1.23,15.11,7.15,8.04,Digitando
